Chapter number,Topic number,Topic,Paper number,Questions,Answers
Chapter 9,Topic 5,Motion,Paper 2,"What factors affect the speed a person walks, runs, or cycles?","age, fitness, terrain, distance travelled"
Chapter 9,Topic 5,Motion,Paper 2,"What are typical speeds for walking, running, and cycling?","1.5 m/s, 3.0 m/s, 6.0 m/s"
Chapter 9,Topic 5,Motion,Paper 2,What are typical speeds of a car and a train?,13–30 m/s and ~50 m/s respectively
Chapter 9,Topic 5,Motion,Paper 2,What is a typical speed for sound in air?,330 m/s
Chapter 9,Topic 5,Motion,Paper 2,What is acceleration?,change in velocity per second
Chapter 9,Topic 5,Motion,Paper 2,What is the unit of acceleration?,m/s²
Chapter 9,Topic 5,Motion,Paper 2,How can an object be accelerating at steady speed?,if its direction is changing
Chapter 9,Topic 5,Motion,Paper 2,Does negative acceleration always mean an object is slowing down?,No. It slows down only when acceleration is opposite to its velocity.
Chapter 9,Topic 5,Motion,Paper 2,What does the gradient of a distance–time graph give?,speed
Chapter 9,Topic 5,Motion,Paper 2,What does the gradient of a velocity–time graph give?,acceleration
Chapter 9,Topic 5,Motion,Paper 2,What does the area under a velocity–time graph give?,"Displacement; for distance, add the magnitudes of the areas above and below the time axis."
